Cliente;Motorista;Data Emissão Pedido;Data Entrega Prevista;Destino;Itens;R$ Faturados;Saída para Entrega; Qtd Devolução;Mot. Devolução;Status - OTD;OCT Real;OCT Prometido;Lead Time Interno Total;LTI Conformidade;Transit Time / Last Mile;TT Conformidade;Lead Time Variance Completo / Desvio de SLA;OTIF;OTIF MOTIVOS E MOTORISTAS ENTREGA PERFEITA;OTIF Financeiro
WALMART;FELIPE SILVA;27/01/2019;06/02/2019;SP;3;139,5;29/01/2019;0;S/ Devolu.;No Prazo;7;10;2;Processo dentro do prazo;5;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Satisfeito;FELIPE SILVA;Satisfeito sem prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;28/01/2019;07/02/2019;RJ;4;134,4;09/02/2019;0;S/ Devolu.;Atrasado;15;10;12;Excedeu Processo;3;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;04/02/2019;14/02/2019;SP;5;79,5;07/02/2019;1;Produto Errado;No Prazo;10;10;3;Processo dentro do prazo;7;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;18/02/2019;28/02/2019;SP;20;326;23/02/2019;11;Produto Errado;No Prazo;7;10;5;Processo dentro do prazo;2;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;21/02/2019;03/03/2019;RJ;12;597,6;28/02/2019;0;S/ Devolu.;Atrasado;14;10;7;Excedeu Processo;7;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;JOÃO GOMES;23/02/2019;05/03/2019;RJ;14;467,6;28/02/2019;9;Produto Errado;Atrasado;11;10;5;Processo dentro do prazo;6;Excedeu Processo;1 dia Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;JOÃO GOMES;24/02/2019;06/03/2019;SP;6;297;27/02/2019;1;Produto Errado;Atrasado;13;10;3;Processo dentro do prazo;10;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;VALDIR ESPINOSA;26/02/2019;08/03/2019;BH;14;473,2;27/02/2019;1;Produto Errado;No Prazo;9;10;1;Processo dentro do prazo;8;Excedeu Processo;1 dia Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
AMERICANAS;VALDIR ESPINOSA;01/03/2019;11/03/2019;SP;10;165;06/03/2019;1;Danificado;Atrasado;12;10;5;Processo dentro do prazo;7;Excedeu Processo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;MARCOS LEROY;02/03/2019;12/03/2019;RJ;1;31;05/03/2019;1;Danificado;No Prazo;4;10;3;Processo dentro do prazo;1;Processo dentro do prazo;6 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;06/03/2019;16/03/2019;RJ;8;262,4;18/03/2019;1;Produto Errado;Atrasado;14;10;12;Excedeu Processo;2;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;07/03/2019;17/03/2019;BH;18;907,2;18/03/2019;0;S/ Devolu.;Atrasado;14;10;11;Excedeu Processo;3;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;4 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;LUIZ PARDAL;11/03/2019;21/03/2019;RJ;20;996;20/03/2019;4;Arrependimento;Atrasado;13;10;9;Excedeu Processo;4;Processo dentro do prazo;3 dias Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;14/03/2019;24/03/2019;SP;4;62,4;18/03/2019;1;Danificado;Atrasado;13;10;4;Processo dentro do prazo;9;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;FELIPE SILVA;17/03/2019;27/03/2019;BH;14;226,8;23/03/2019;3;Danificado;No Prazo;10;10;6;Excedeu Processo;4;Processo dentro do prazo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;18/03/2019;28/03/2019;BH;3;93;25/03/2019;2;Produto Errado;Atrasado;16;10;7;Excedeu Processo;9;Excedeu Processo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;19/03/2019;29/03/2019;SP;12;601,2;01/04/2019;0;S/ Devolu.;Atrasado;17;10;13;Excedeu Processo;4;Processo dentro do prazo;7 dias Entregue Atrasado;Insatisfeito;7 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
WALMART;LUIZ PARDAL;22/03/2019;01/04/2019;BH;15;738;26/03/2019;0;S/ Devolu.;No Prazo;7;10;4;Processo dentro do prazo;3;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Satisfeito;LUIZ PARDAL;Satisfeito sem prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;24/03/2019;03/04/2019;RJ;9;298,8;26/03/2019;1;Danificado;No Prazo;4;10;2;Processo dentro do prazo;2;Processo dentro do prazo;6 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;LUIZ PARDAL;29/03/2019;08/04/2019;BH;1;16,6;06/04/2019;1;Produto Errado;Atrasado;14;10;8;Excedeu Processo;6;Excedeu Processo;4 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
AMERICANAS;LUIZ PARDAL;29/03/2019;08/04/2019;RJ;13;631,8;03/04/2019;3;Danificado;No Prazo;7;10;5;Processo dentro do prazo;2;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;LUIZ PARDAL;30/03/2019;09/04/2019;BH;8;259,2;03/04/2019;2;Produto Errado;No Prazo;7;10;4;Processo dentro do prazo;3;Processo dentro do prazo;3 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;TÚLIO SILVEIRA;06/04/2019;16/04/2019;SP;1;33,2;07/04/2019;1;Produto Errado;No Prazo;8;10;1;Processo dentro do prazo;7;Excedeu Processo;2 dias Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;10/04/2019;20/04/2019;BH;4;136;13/04/2019;4;Produto Errado;No Prazo;9;10;3;Processo dentro do prazo;6;Excedeu Processo;1 dia Entregue Antes do Prazo;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;12/04/2019;22/04/2019;BH;9;270;16/04/2019;2;Danificado;No Prazo;8;10;4;Processo dentro do prazo;4;Processo dentro do prazo;2 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;13/04/2019;23/04/2019;RJ;1;49,8;17/04/2019;1;Danificado;No Prazo;10;10;4;Processo dentro do prazo;6;Excedeu Processo; No Prazo Exato (OnTime);Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;FELIPE SILVA;13/04/2019;23/04/2019;BH;20;676;19/04/2019;0;S/ Devolu.;Atrasado;15;10;6;Excedeu Processo;9;Excedeu Processo;5 dias Entregue Atrasado;Insatisfeito;5 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;13/04/2019;23/04/2019;SP;11;182,6;20/04/2019;3;Danificado;Atrasado;13;10;7;Excedeu Processo;6;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;JOÃO GOMES;14/04/2019;24/04/2019;RJ;1;31,8;29/04/2019;1;Produto Errado;Atrasado;17;10;15;Excedeu Processo;2;Processo dentro do prazo;7 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;VALDIR ESPINOSA;16/04/2019;26/04/2019;SP;16;264;20/04/2019;3;Danificado;No Prazo;6;10;4;Processo dentro do prazo;2;Processo dentro do prazo;4 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;24/04/2019;04/05/2019;BH;13;423,8;01/05/2019;0;S/ Devolu.;No Prazo;8;10;7;Excedeu Processo;1;Processo dentro do prazo;2 dias Entregue Antes do Prazo;Satisfeito;MARCOS LEROY;Satisfeito sem prejuízo financeiro
MAGAZINE LUIZA;FELIPE SILVA;24/04/2019;04/05/2019;SP;17;544;09/05/2019;2;Produto Errado;Atrasado;16;10;15;Excedeu Processo;1;Processo dentro do prazo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;25/04/2019;05/05/2019;SP;13;616,2;08/05/2019;8;Produto Errado;Atrasado;17;10;13;Excedeu Processo;4;Processo dentro do prazo;7 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;28/04/2019;08/05/2019;SP;10;157;09/05/2019;2;Danificado;Atrasado;14;10;11;Excedeu Processo;3;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;LUIZ PARDAL;29/04/2019;09/05/2019;SP;4;131,2;10/05/2019;0;S/ Devolu.;Atrasado;13;10;11;Excedeu Processo;2;Processo dentro do prazo;3 dias Entregue Atrasado;Insatisfeito;3 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
MAGAZINE LUIZA;MARCOS LEROY;29/04/2019;09/05/2019;BH;11;170,5;12/05/2019;6;Danificado;Atrasado;15;10;13;Excedeu Processo;2;Processo dentro do prazo;5 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
CASA E VIDEO;LUIZ PARDAL;05/05/2019;15/05/2019;BH;13;214,5;11/05/2019;1;Arrependimento;Atrasado;13;10;6;Excedeu Processo;7;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Arrependimento;Insatisfeito com prejuízo financeiro
MAGAZINE LUIZA;TÚLIO SILVEIRA;05/05/2019;15/05/2019;RJ;14;448;20/05/2019;0;S/ Devolu.;Atrasado;16;10;15;Excedeu Processo;1;Processo dentro do prazo;6 dias Entregue Atrasado;Insatisfeito;6 dias Entregue Atrasado;Insatisfeito sem prejuízo financeiro
CASAS BAHIA;MARCOS LEROY;06/05/2019;16/05/2019;BH;14;467,6;11/05/2019;3;Produto Errado;Atrasado;13;10;5;Processo dentro do prazo;8;Excedeu Processo;3 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
AMERICANAS;VALDIR ESPINOSA;10/05/2019;20/05/2019;SP;2;97,8;12/05/2019;2;Danificado;No Prazo;5;10;2;Processo dentro do prazo;3;Processo dentro do prazo;5 dias Entregue Antes do Prazo;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
AMERICANAS;JOÃO GOMES;17/05/2019;27/05/2019;RJ;14;229,6;19/05/2019;4;Danificado;Atrasado;17;10;2;Processo dentro do prazo;15;Excedeu Processo;7 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;17/05/2019;27/05/2019;RJ;4;65,2;30/05/2019;2;Produto Errado;Atrasado;19;10;13;Excedeu Processo;6;Excedeu Processo;9 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
CASAS BAHIA;VALDIR ESPINOSA;18/05/2019;28/05/2019;SP;1;33,2;31/05/2019;1;Produto Errado;Atrasado;16;10;13;Excedeu Processo;3;Processo dentro do prazo;6 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
WALMART;TÚLIO SILVEIRA;19/05/2019;29/05/2019;SP;19;855;28/05/2019;1;Danificado;Atrasado;12;10;9;Excedeu Processo;3;Processo dentro do prazo;2 dias Entregue Atrasado;Insatisfeito;Danificado;Insatisfeito com prejuízo financeiro
WALMART;MARCOS LEROY;19/05/2019;29/05/2019;SP;17;574,6;30/05/2019;8;Produto Errado;Atrasado;14;10;11;Excedeu Processo;3;Processo dentro do prazo;4 dias Entregue Atrasado;Insatisfeito;Produto Errado;Insatisfeito com prejuízo financeiro
